src,dst
0,1
0,2
0,3
0,4
0,5
0,9
0,13
0,15
0,17
0,25
0,26
0,27
0,32
0,42
0,60
0,65
0,71
0,72
0,78
0,79
0,83
0,86
0,93
0,107
0,121
0,122
0,133
0,143
0,145
0,162
0,178
0,183
0,186
0,221
0,231
0,236
0,268
0,292
0,297
0,310
0,317
0,330
0,349
0,418
0,426
0,447
0,532
0,555
0,570
0,580
0,624
0,636
0,685
0,693
0,709
0,710
0,718
0,722
0,731
0,770
0,802
0,864
0,901
0,940
0,973
0,1032
0,1033
0,1043
0,1130
0,1152
0,1154
0,1163
0,1170
0,1206
0,1265
0,1301
0,1315
0,1318
0,1327
0,1439
0,1514
0,1535
0,1569
0,1734
0,1811
0,1837
0,1848
0,1915
0,1917
0,1929
0,1938
0,1948
0,1955
0,1976
0,2059
0,2087
0,2091
0,2136
0,2244
0,2246
0,2308
0,2325
0,2334
0,2406
0,2420
0,2502
0,2572
0,2634
0,2658
0,2676
0,2725
0,2870
0,2873
0,2937
0,2993
0,3036
0,3085
0,3150
0,3154
0,3400
0,3503
0,3526
0,3583
0,3656
0,3735
0,3911
0,3971
0,4185
0,4192
0,4203
0,4345
0,4437
0,4449
0,4457
0,4602
0,4663
0,4689
0,4690
0,4733
0,4755
0,4780
0,4832
0,4907
0,4931
0,4986
0,5155
0,5178
0,5187
0,5252
0,5253
0,5258
0,5322
0,5410
0,5472
0,5594
0,5609
0,5621
0,5636
0,5685
0,5690
0,5691
0,5698
0,5733
0,5901
0,5937
0,6136
0,6304
0,6324
0,6333
0,6453
0,6500
0,6524
0,6804
0,6810
0,6855
0,6865
0,6932
0,7188
0,7230
0,7524
0,7670
0,7677
0,7689
0,8182
0,8229
0,8238
0,8427
0,8461
0,8472
0,8627
0,8636
0,8660
0,8664
0,8694
0,8914
0,8917
0,9107
0,9216
0,9253
0,9423
0,9650
0,9760
0,9849
0,9892
0,9904
0,9912
0,10034
0,10064
0,10108
0,10216
0,10270
0,10409
0,10445
0,10636
0,10706
0,10711
0,10745
0,10790
0,10832
0,10889
0,11308
0,11334
0,11365
0,11519
0,11735
0,11793
0,12013
0,12084
0,12129
0,12271
0,12355
0,12430
0,12541
0,12912
0,13008
0,13070
0,13140
0,13343
0,13399
0,13414
0,13491
0,13559
0,13570
0,13636
0,13848
0,14084
0,14285
0,14501
0,14539
0,14778
0,14800
0,14807
0,14817
0,15052
0,15107
0,15125
0,15283
0,15314
0,15345
0,15475
0,15503
0,15693
0,15840
0,15966
0,16120
0,16203
0,16208
0,16460
0,16649
0,16803
0,16850
0,17035
0,17092
0,17284
0,17328
0,17703
0,17859
0,18039
0,18482
0,18758
0,18805
0,18827
0,18962
0,19206
0,19335
0,19682
0,19963
0,20049
0,20121
0,20224
0,20485
0,20497
0,20541
0,20638
0,20825
0,20929
0,21463
0,21671
0,21757
0,21913
0,22039
0,22368
0,22373
0,22715
0,22826
0,23004
0,23211
0,23252
0,23569
0,23731
0,23791
0,23889
0,23935
0,23958
0,24240
0,24642
0,25194
0,25360
0,25640
0,25813
0,25962
0,26027
0,26246
0,26376
0,27001
0,27058
0,27226
0,27365
0,27392
0,27646
0,27654
0,27827
0,28236
0,28407
0,28558
0,28611
0,28737
0,29201
0,29412
0,29413
0,29561
1,4
1,8
1,12
1,67
1,91
1,120
1,127
1,150
1,247
1,282
1,348
1,365
1,367
1,388
1,389
1,390
1,419
1,463
1,488
1,524
1,630
1,654
1,835
1,1094
1,1131
1,1296
1,1475
1,1500
1,1528
1,2036
1,2124
1,2135
1,2285
1,2675
1,2813
1,2881
1,3178
1,3285
1,3711
1,3803
1,3822
1,3861
1,4026
1,4151
1,4156
1,4749
1,4921
1,4929
1,5139
1,5182
1,5357
1,5394
1,5416
1,5439
1,5701
1,5851
1,6168
1,6203
1,6224
1,6513
1,6668
1,6758
1,6856
1,7345
1,7513
1,8311
1,8817
1,8875
1,9526
1,9682
1,9712
1,9774
1,10162
1,10629
1,10658
1,10744
1,10880
1,10978
1,11115
1,11159
1,11367
1,11403
1,11628
1,12018
1,12166
1,12427
1,12538
1,12826
1,13169
1,13237
1,13889
1,14410
1,14563
1,15209
1,15885
1,16115
1,16357
1,16483
1,16555
1,17121
1,17697
1,17843
1,18535
1,18653
1,19326
1,19820
1,19874
1,20712
1,21251
1,21303
1,21497
1,22011
1,22362
1,22563
1,22585
1,22595
1,22948
1,22966
1,23152
1,23368
1,23374
1,23567
1,23652
1,24585
1,25000
1,25420
1,25734
1,25761
1,26280
1,26805
1,27222
1,27850
1,27932
1,28192
1,28301
1,28738
1,28947
1,29398
1,29574
1,29900
2,6
2,7
2,9
2,10
2,12
2,13
2,14
2,15
2,19
2,20
2,21
2,31
2,40
2,43
2,45
2,55
2,66
2,75
2,77
2,78
2,84
2,93
2,114
2,124
2,131
2,132
2,150
2,153
2,155
2,163
2,166
2,182
2,189
2,208
2,265
2,279
2,284
2,295
2,307
2,308
2,344
2,384
2,411
2,412
2,414
2,442
2,487
2,533
2,580
2,595
2,601
2,632
2,660
2,674
2,676
2,690
2,693
2,713
2,775
2,800
2,819
2,823
2,861
2,867
2,869
2,878
2,928
2,941
2,974
2,984
2,993
2,1016
2,1026
2,1035
2,1074
2,1085
2,1086
2,1125
2,1149
2,1152
2,1154
2,1182
2,1254
2,1255
2,1287
2,1297
2,1311
2,1325
2,1399
2,1400
2,1401
2,1438
2,1475
2,1477
2,1538
2,1546
2,1566
2,1584
2,1622
2,1641
2,1680
2,1732
2,1758
2,1768
2,1775
2,1801
2,1851
2,1866
2,1868
2,1980
2,1991
2,2006
2,2022
2,2048
2,2101
2,2208
2,2216
2,2232
2,2255
2,2256
2,2265
2,2288
2,2312
2,2404
2,2446
2,2504
2,2533
2,2537
2,2539
2,2540
2,2563
2,2661
2,2687
2,2735
2,2816
2,2836
2,2936
2,2990
2,3072
2,3107
2,3236
2,3237
2,3239
2,3344
2,3351
2,3431
2,3459
2,3478
2,3548
2,3614
2,3638
2,3722
2,3750
2,3771
2,3858
2,3870
2,3923
2,3925
2,3961
2,4001
2,4168
2,4208
2,4328
2,4381
2,4426
2,4476
2,4547
2,4554
2,4571
2,4592
2,4594
2,4628
2,4667
2,4726
2,4758
2,4815
2,4862
2,4949
2,5078
2,5096
2,5100
2,5219
2,5223
2,5231
2,5289
2,5449
2,5576
2,5667
2,5705
2,5753
2,5764
2,5863
2,5872
2,5925
2,5938
2,6008
2,6070
2,6309
2,6380
2,6443
2,6542
2,6596
2,6683
2,6684
2,6808
2,6853
2,7104
2,7167
2,7234
2,7407
2,7521
2,7544
2,7627
2,7675
2,7781
2,7830
2,7880
2,7884
2,7935
2,8036
2,8144
2,8347
2,8499
2,8537
2,8716
2,8796
2,8845
2,8880
2,8933
2,8958
2,9133
2,9170
2,9194
2,9224
2,9264
2,9438
2,9562
2,9779
2,9789
2,9880
2,9883
2,9905
2,9953
2,9954
2,9969
2,10004
2,10065
2,10136
2,10142
2,10159
2,10211
