post_id,post_text,content,index,timeofposting,rideordrive,dateofride,weekdayofride,price,location,destination
,,#ride08312024 RIDE!! Oakland to Palo Alto 12:00 PM,1,,1,2024-08-31,Saturday,0,#ride08312024 RIDE!! Oakland,Palo
,,#ride11302025 Need a ride Sac-Fremont. Budget $12-22,2,,1,2025-11-30,Sunday,0,#ride11302025 Need a ride Sac,Fremont
,,#ride06032024 RIDE!! San Jose ➜ Sacramento 3:30 PM 18 dollars pm me,3,,1,2024-06-03,Monday,0,#ride06032024 RIDE!! San Jose,Sacramento
,,#drive08252025 #drive09012025 Need a drive Sacramento -> San Jose. Budget $30-40,4,,0,2025-08-25,Monday,35,#drive08252025 #drive09012025 Need a drive Sacramento,San Jose
,,#drive01232024 #drive01252024 Need a driev Palo Alto ➜ Berkeley. Budget $12,5,,0,2024-01-23,Tuesday,12,#drive01232024 #drive01252024 Need a driev Palo Alto,Berkeley
,,#drive05222024  Oakland  to  San  Jose  |  8:50  AM  |  $25-33  |  1  seat,6,,0,2024-05-22,Wednesday,29,#drive05222024 Oakland,San
,,Need a drive Sacramento to Fremont. Budget $40,7,,,,,0,Need a drive Sacramento,Fremont
,,#ride08192025 RIDE!! Davis ➜ Oakland 2:30 PM $40-50,8,,1,2025-08-19,Tuesday,0,#ride08192025 RIDE!! Davis,Oakland
,,#drive03222025 DRIVE!! Sunnyvale to Sacramento 8:45 PM $18,9,,0,2025-03-22,Saturday,18,#drive03222025 DRIVE!! Sunnyvale,Sacramento
,,#ride07092024 #ride07122024 Need a ride Palo Alto to Oakland. Budget $18,10,,1,2024-07-09,Tuesday,0,#ride07092024 #ride07122024 Need a ride Palo Alto,Oakland
,,#drive12232024 Berkeley to Sac $12 leaving 8:10 AM,11,,0,2024-12-23,Monday,12,#drive12232024 Berkeley,Sacramento
,,#drive11052025 Palo Alto-Berkeley | 6PM |  | 1s eat,12,,0,2025-11-05,Wednesday,0,#drive11052025 Palo Alto,Berkeley
,,#ride10142025 Oakland to Davis | 1:20P M | $12 | 1 seat,13,,1,2025-10-14,Tuesday,0,#ride10142025 Oakland,Davis
,,#drive08242024 Need a drive San Jose -> Sac. Budget,14,,0,2024-08-24,Saturday,0,#drive08242024 Need a drive San Jose,Sacramento
,,#drive10042024 Berkeley-Sunnyvale | 6PM |  | 1 seat,15,,0,2024-10-04,Friday,0,#drive10042024 Berkeley,Sunnyvale
,,Berkeley to Palo Alto $15 leaving 4:45 PM,16,,,,,0,Berkeley,Palo
,,#drive11142025  DRIVE!!  Fremont-San  rFancisco  12PM  $25,17,,0,2025-11-14,Friday,25,#drive11142025 DRIVE!! Fremont,San
,,#drive01142024 Need a drive Fremont to San Jose. Budget $25,18,,0,2024-01-14,Sunday,25,#drive01142024 Need a drive Fremont,San Jose
,,#drive09292025  Berkeley  ->  Sunnyvale  $30-38  leaving  7:15  PM  pls,19,,0,2025-09-29,Monday,34,#drive09292025 Berkeley,Sunnyvale
,,#drive03102025  Need  a  drive  Davis-Oakland.  Budget  $15-23  🚗,20,,0,2025-03-10,Monday,19,#drive03102025 Need a drive Davis,Oakland
,,#drive08272025 DRIVE!! San Jose -> Sunnyvale 10PM $25 pls,21,,0,2025-08-27,Wednesday,25,#drive08272025 DRIVE!! San Jose,Sunnyvale
,,#drive06162024 Need a drive Sunnyvale ➜ Palo Alto. Budget,22,,0,2024-06-16,Sunday,0,#drive06162024 Need a drive Sunnyvale,Palo
,,#drive02132024  Need  a  drive  from  San  Francisco  t  oPalo  Alto.  Budget  $35  😊,23,,0,2024-02-13,Tuesday,35,,
,,#ride08122025 RIDE!! San Jose to Sunnyvale 10AM,24,,1,2025-08-12,Tuesday,0,#ride08122025 RIDE!! San Jose,Sunnyvale
