post_id,post_text
1,#drive04182025 Need a drive San Jose to Sacramento. Budget 10 dollars
2,"#drive09162024  Sacramento-Davis  |  4PM  |  $40  |  1  seat
anyone?"
3,#drive04122024  #drive04132024  San  Jose-Sunnyvale  $40  leaving  3:10  PM
4,#ride10182025 RIDE!! Palo Alto ➜ Fremont 6:45 PM $15-20 😊
5,"#ride06252025 #ride06282025 Need a ride Fremont -> Palo Alto. Budget $30 🚗
flexible time"
6,"#ride03242024  RIDE!!  Palo  Alto  ->  Berkeley  4:20  PM
pm  me"
7,#drive10102024 Oakland -> San Francisco $10 leaving 6:30 AM
8,#ride05102025 Palo Alto -> Fremont 12 dollars elaving 11AM !!
9,#ride03252024 Need a ride San Francisco-Sacramento. Budget $25-35
10,#ride05292024 RIDE!! Davis -> Sacramento 10:00 AM $15
11,#drive02142025  Fremont-Davis  |  6:30  AM  |  $40  |  1  seat
12,#drive04022025 Need a drive Sunnyvale -> San Jose. Budget $18
13,#drive04192025 from Fremont to Oakland | 2:40 PM | $15 | 1 seat
14,"SF to Davis | 2PM |  | 1 seat
comment below"
15,#ride03122024  SJ  ->  Sacramento  $15  leaving  9PM
16,#ride10162024 #ride10192024 RIDE!! Fremont ➜ Davis 12:45 PM $25
17,"#drive12082025 San Jose to Davis  leaving 9:40 AM
flexible time"
18,#ride07142025 Berkeley ➜ Oakland | 8AM | $35 | 1 seat flexible time
19,#ride08222025 RIDE!! from Palo Alto to Sunnyvale 5PM $10
20,#ride08302025 Need a ride Oakland-Davis. Budget $15
21,#drive09222025 Davis ➜ Palo Alto $18 leaving4 PM
22,#drive06092025 #drive06102025 Sacramento ➜ San Jose  leaving 9AM
23,#ride05282024 RIDE!! Fremont ➜ Oakland 4:00 PM $40-45
24,"#ride06202025 San Jose ➜ Berkeley  leaving 1:40 PM
comment below"
25,#ride06012024 Need a ride Fremont-Davis. Budget $20-28
26,#ride08122024 Davis ➜ San Francisco $40 leaving 8:20 PM
27,#drive02112025 DRIVE!! Fremont ➜ Oakland 8PM $10-18 🚗
28,#ride12252024 RIDE!! Berkeley-Fremont 6:50 PM $22-27
29,#drive01162024 Berkeley-San Francisco $20 leavign 7AM
30,#drive04022025 Fremont-Davis | 8:50 AM | $18 | 1 seat
